card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules
KAQ-001,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Admin%20Aliana.webp,Admin Aliana!,3,3,,"When you gain this, put this under your Trainer.",blue,Main Deck,Encounter,,,Team Flare,[KAQ],,
KAQ-002,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Admin%20Bryony.webp,Admin Bryony!,3,3,,"When you gain this, put this under your Trainer.",blue,Main Deck,Encounter,,,Team Flare,[KAQ],,
KAQ-003,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Admin%20Celosia.webp,Admin Celosia!,3,3,,"When you gain this, put this under your Trainer.",blue,Main Deck,Encounter,,,Team Flare,[KAQ],,
KAQ-004,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Admin%20Mable.webp,Admin Mable!,3,3,,"When you gain this, put this under your Trainer.",blue,Main Deck,Encounter,,,Team Flare,[KAQ],,
KAQ-005,"KAQ-047, KAQ-029","{""KAQ-047"",""KAQ-029""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Aegislash.webp,Aegislash,9,3,"+4 Energy
Attack: Each opponent discards a card.
Defense: You may reveal this to avoid an Attack.",,,Evolution Stack,Pokemon,Attack|Defense,Evolved,__none__,[KAQ],,
KAQ-006,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Alain.webp,Alain,,,"The first Mega Evolved Pokemon you buy or gain this game costs two less. At the end of the game, if you have four or more Mega Evolved Pokemon, gain 2 XP.",,,Setup,Trainer,,,__none__,[KAQ],,
KAQ-007,KAQ-009,"{""KAQ-009""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Amaura.webp,Amaura,3,1,"+1 Energy
Evolve 6: Put this under your Trainer. Gain Aurorus from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[KAQ],,
KAQ-008,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Ash.webp,Ash,,,"Once during each of your turns, you may pay 4 Energy. If you do, put a Pokemon with cost 7 or less from your discard pile into your hand.",,,Setup,Trainer,,,__none__,[KAQ],,
KAQ-009,KAQ-007,"{""KAQ-007""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Aurorus.webp,Aurorus,6,2,"+2 Energy and choose an opponent.
Attack: This Attack can't be avoided. Look at that opponent's hand. That opponent discards an Attack card of your choosing.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[KAQ],,
KAQ-010,KAQ-011,"{""KAQ-011""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/KAQ/Avalugg.webp,Avalugg,6,2,"+2 Energy
Attack: Each opponent can't play more than four cards during their next turn.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[KAQ],,
