card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants,rules,wcs_tier
S&M-001,S&M-128,"{""S&M-128""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Acerola.webp,Acerola,9,5,,"When you gain this, put this under your Trainer. Then if you don't have a Z-Ring, gain a Z-Ring and put it in front of your Trainer.",blue,Challenge Stack,Challenge,,,__none__,[S&M],,,
S&M-002,S&M-003,"{""S&M-003""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Diglett.webp,Alolan Diglett,4,1,"+1 Energy
You may put this on the bottom of your deck. If you do, look at the top three cards of your deck, put any number of them on top of your deck in any order, then discard the rest.
Evolve 5: Put this under your Trainer. Gain Alolan Dugtrio from the Evolution Stack.",,,Main Deck,Pokemon,Evolve,,__none__,[S&M],,,
S&M-003,S&M-002,"{""S&M-002""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Dugtrio.webp,Alolan Dugtrio,6,2,"+3 Energy
Defense: You may put this on the bottom of your deck to avoid an Attack. If you do, draw a card, then look at the top four cards of your deck. Put any number of them on top of your deck in any order, then discard the rest.",,,Evolution Stack,Pokemon,Defense,Evolved,__none__,[S&M],,,
S&M-004,S&M-037,"{""S&M-037""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Exeggutor.webp,Alolan Exeggutor,6,2,"+4 Energy
Z-Move: Discard an Attack card. If you do, gain +5 Energy.",,,Evolution Stack,Pokemon,Z-Move,Evolved,__none__,[S&M],,,
S&M-005,"S&M-007, S&M-006","{""S&M-007"",""S&M-006""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Geodude.webp,Alolan Geodude,4,1,"+1 Energy
Defense: You may discard this to avoid an Attack. If you do, draw a card.
Evolve 4: Put this under your Trainer. Gain Alolan Graveler from the Evolution Stack.",,,Main Deck,Pokemon,Defense|Evolve,,__none__,[S&M],,,
S&M-006,"S&M-005, S&M-007","{""S&M-005"",""S&M-007""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Golem.webp,Alolan Golem,7,2,"+4 Energy
Defense: You may reveal this to avoid an Attack. If you do, you may put a card from the opponent that played the Attack's discard pile on top of their deck.",,,Evolution Stack,Pokemon,Defense,Evolved,__none__,[S&M],,,
S&M-007,"S&M-005, S&M-006","{""S&M-005"",""S&M-006""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Graveler.webp,Alolan Graveler,5,1,"+2 Energy
Defense: You may discards this to avoid an Attack. If you do, draw a card, then you may put a card from the opponent that played the Attack's discard pile on top of their deck.
Evolve 6: Put this under your Trainer. Gain Alolan Golem from the Evolution Stack.",,,Evolution Stack,Pokemon,Defense|Evolve,Evolved,__none__,[S&M],,,
S&M-008,S&M-011,"{""S&M-011""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Grimer.webp,Alolan Grimer,4,1,"+1 Energy
Attack: Each opponent discards two Starters.
Evolve 6: Put this under your Trainer. Gain Alolan Muk from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[S&M],,,
S&M-009,S&M-030,"{""S&M-030""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Marowak.webp,Alolan Marowak,6,2,"+2 Energy and choose one of the following:
 • Destroy a card in your hand or discard pile.
 • Attack: This Attack can't be avoided. Each opponent discards a card.",,,Evolution Stack,Pokemon,Attack,Evolved,__none__,[S&M],,,
S&M-010,S&M-013,"{""S&M-013""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/S&M/Alolan%20Meowth.webp,Alolan Meowth,4,1,"+1 Energy and choose an opponent.
Attack: That opponent discards an Item.
Evolve 5: Put this under your Trainer. Gain Alolan Persian from the Evolution Stack.",,,Main Deck,Pokemon,Attack|Evolve,,__none__,[S&M],,,
