card_id,related_ids_raw,related,name,cost,xp,effect,highlight_effect,set,card_location,image_url,highlight_color,primary_types,keywords,subtypes,symbols,image_variants
GLJ-001,"GLJ-029, GLJ-030","{""GLJ-029"",""GLJ-030""}",Aurora Beam,,,"When you play Pryce's Dewgong, gain +1 Energy and choose an opponent. Attack: That opponent puts a card from their hand on top of their deck.","This stays in play in front of your Trainer.
This is not affected by any effects that do not mention it specifically.",[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Aurora%20Beam.webp,,Move,Attack,Unique,__none__,
GLJ-002,"GLJ-003, GLJ-024","{""GLJ-003"",""GLJ-024""}",Bugsy,,,You start the game with Bugsy's Scizor in your deck.,,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Bugsy.webp,,Trainer,,,__none__,
GLJ-003,"GLJ-002, GLJ-024","{""GLJ-002"",""GLJ-024""}",Bugsy's Scizor,3,0,"+2 Energy
You may destroy a card in the Route. If you do, add the top card of the Main Deck to the Route.
Learn 6: Gain Metal Claw and put it in front of your Trainer.",,[GLJ],Setup,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Bugsy's%20Scizor.webp,,Starter|Pokemon,Learn,,__none__,
GLJ-004,,{},Challenger - Bird Keeper,8,5,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Bird%20Keeper.webp,blue,Challenge,,,__none__,
GLJ-005,,{},Challenger - Camper,7,4,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Camper.webp,blue,Challenge,,,__none__,
GLJ-006,,{},Challenger - Eusine,12,8,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Eusine.webp,blue,Challenge,,,__none__,
GLJ-007,,{},Challenger - Firebreather,10,6,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Firebreather.webp,blue,Challenge,,,__none__,
GLJ-008,,{},Challenger - Guitarist,11,7,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Guitarist.webp,blue,Challenge,,,__none__,
GLJ-009,,{},Challenger - Kimono Girl,9,5,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Kimono%20Girl.webp,blue,Challenge,,,__none__,
GLJ-010,,{},Challenger - Medium,10,6,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Medium.webp,blue,Challenge,,,__none__,
GLJ-011,,{},Challenger - Picnicker,8,5,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Picnicker.webp,blue,Challenge,,,__none__,
GLJ-012,,{},Challenger - Pokefan,9,5,,"When you gain this, put this under your Trainer.",[GLJ],Challenge Stack,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/GLJ/Challenger%20-%20Pokefan.webp,blue,Challenge,,,__none__,
