card_id,related_ids_raw,related,name,image_url,cost,xp,effect,highlight_effect,set,card_location,highlight_color,primary_types,keywords,subtypes,symbols,image_variants
THC-001,,{},Absol,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Absol.webp,5,1,"+2 Energy
While this is in your discard pile, if an Attack card is played by any player, you may shuffle this into your deck.",,[THC],Main Deck,,Pokemon,,,Mega Symbol,
THC-002,,{},Acro Bike,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Acro%20Bike.webp,4,1,"Draw two cards, then discard a card.",,[THC],Main Deck,,Item,,,__none__,
THC-003,THC-094,"{""THC-094""}",Altaria,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Altaria.webp,6,2,"+3 Energy
At the end of your turn, you may put this on the bottom of your deck.",,[THC],Evolution Stack,,Pokemon,,Evolved,Mega Symbol,
THC-004,,{},Ash,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Ash.webp,,,"Once during each of your turns, if an Attack you control is not avoided by at least one opponent, gain +1 Energy.",,[THC],Setup,,Trainer,,,__none__,
THC-005,THC-029,"{""THC-029""}",Aspear Berry,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Aspear%20Berry.webp,4,1,"+2 Energy
Destroy a Freeze you control in play or in your discard pile.",,[THC],Main Deck,,Item,,,__none__,
THC-006,"THC-088, THC-082","{""THC-088"",""THC-082""}",Bagon,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Bagon.webp,4,1,"Discard a card. If you do, gain +2 Energy.
Evolve 5: Put this under your Trainer. Gain Shelgon from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-007,,{},Balance Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Balance%20Badge.webp,9,5,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
THC-008,"THC-060, THC-059","{""THC-060"",""THC-059""}",Beldum,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Beldum.webp,4,1,"Put an Item with cost 4 or less from your discard pile into your hand.
Evolve 4: Put this under your Trainer. Gain Metang from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-009,"THC-109, THC-018, THC-013","{""THC-109"",""THC-018"",""THC-013""}",Blaziken,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Blaziken.webp,7,2,"+3 Energy
You may destroy a card in your hand. If you do, Attack: Each opponent gains a Burn.",,[THC],Evolution Stack,,Pokemon,Attack,Evolved,Mega Symbol,
THC-010,THC-066,"{""THC-066""}",Body Slam!,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Body%20Slam.webp,,,Encounter Attack: Gain a Paralyze,"This can't be bought or gained. At the end of the turn, destroy this.",[THC],Main Deck,yellow,Encounter,Encounter Attack,,Team Aqua,
THC-011,,{},Brendan,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Brendan.webp,,,"At the start of each of your turns, you may discard a card. If you do, put an Item from your discard pile on top of your deck.",,[THC],Setup,,Trainer,,,__none__,
THC-012,,{},Brock,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Brock.webp,,,"At the start of each of your turns, you may discard two cards. If you do, may destroy a Status Condition you control in play or in your discard pile.",,[THC],Setup,,Trainer,,,__none__,
THC-013,"THC-009, THC-025, THC-049, THC-073, THC-079, THC-103, THC-108","{""THC-009"",""THC-025"",""THC-049"",""THC-073"",""THC-079"",""THC-103"",""THC-108""}",Burn,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Burn-Status.webp,,-1,"Ongoing: -1 Energy during your turn. When another Status Condition enters play under your control, destroy this. At the end of your turn, discard this.","When this enters your hand, put this into play.",[THC],Poison/Status Condition Stack,red,Status Condition,Ongoing,,__none__,
THC-014,,{},Castform,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Castform.webp,4,1,"Choose one of the following:
 • Draw a card.
 • Gain +1 Energy.
 • Destroy a card you control in play.
 • Attack: Each opponent discards a random card.",,[THC],Main Deck,,Pokemon,Attack,,__none__,
THC-015,THC-066,"{""THC-066""}",Cheri Berry,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Cheri%20Berry.webp,4,1,"+2 Energy
Destroy a Paralyze you control in play or in your discard pile.",,[THC],Main Deck,,Item,,,__none__,
THC-016,,{},Chesto Berry,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Chesto%20Berry.webp,4,1,"+2 Energy
Look at the top two cards of your deck. You may discard any number of them, then put the rest back in any order.",,[THC],Main Deck,,Item,,,__none__,
THC-017,,{},Chimecho!,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Chimecho.webp,,,Encounter Attack: Ignore the Attack: keyword of all Attack cards you play this turn.,"This can't be bought or gained. At the end of the turn, destroy this.",[THC],Main Deck,yellow,Encounter,Encounter Attack,,Team Rocket,
THC-018,"THC-109, THC-009","{""THC-109"",""THC-009""}",Combusken,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Combusken.webp,5,1,"+2 Energy
You may destroy a card in your hand.
Evolve 6: Put this under your Trainer. Gain Blaziken from the Evolution Stack.",,[THC],Evolution Stack,,Pokemon,Evolve,Evolved,__none__,
THC-019,THC-089,"{""THC-089""}",Delcatty,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Delcatty.webp,5,1,"Defense: You may put this into play to avoid an Attack.
Ongoing: Defense: You may discard this from play to avoid an Attack. If you do, darw a card.",,[THC],Evolution Stack,,Pokemon,Defense|Ongoing,Evolved,__none__,
THC-020,,{},Deoxys,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Deoxys.webp,8,3,"+3 Energy and choose two of the following:
 • Gain +1 Energy.
 • Draw a card.
 • Destroy a card in your hand or discard pile.",,[THC],Main Deck,,Pokemon,,Mythical,__none__,
THC-021,,{},Dire Hit,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Dire%20Hit.webp,4,1,"If you play or have played a Pokemon this turn, gain +3 Energy.",,[THC],Main Deck,,Item,,,__none__,
THC-022,,{},Dive Ball,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Dive%20Ball.webp,4,1,"Reveal the top four cards of the Main Deck. Gain a Pokemon with cost 4 or less that is revealed this way, then put the rest on the bottom of the Main Deck in any order.",,[THC],Main Deck,,Item,,,__none__,
THC-023,,{},Dynamo Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Dynamo%20Badge.webp,8,5,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
THC-024,"THC-052, THC-066","{""THC-052"",""THC-066""}",Electrike,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Electrike.webp,4,1,"+1 Energy and choose an opponent.
Attack: That opponent gains a Paralyze.
Evolve 5: Put this under your Trainer. Gain Manectric from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Attack|Evolve,,__none__,
THC-025,THC-013,"{""THC-013""}",Ember!,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Ember.webp,,,Encounter Attack: Gain a Burn.,"This can't be bought or gained. At the end of the turn, destroy this.",[THC],Main Deck,yellow,Encounter,Encounter Attack,,Team Magma,
THC-026,,{},Energy Removal,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Energy%20Removal.webp,,0,,,[THC],Setup,,Starter,,,__none__,
THC-027,,{},Erruption!,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Erruption.webp,,,Encounter Attack: Destroy a card in your hand or discard pile with cost 1 or more.,"This can't be bought or gained. At the end of the turn, destroy this.",[THC],Main Deck,yellow,Encounter,Encounter Attack,,Team Magma,
THC-028,,{},Feather Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Feather%20Badge.webp,10,6,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
THC-029,"THC-005, THC-031, THC-049, THC-075, THC-079, THC-086, THC-090, THC-101","{""THC-005"",""THC-031"",""THC-049"",""THC-075"",""THC-079"",""THC-086"",""THC-090"",""THC-101""}",Freeze,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Freeze-Status.webp,,-1,"Ongoing: You can't draw cards during your turn. When another Status Condition enters play under your control, destroy this. At the end of your turn, discard this.",,[THC],Poison/Status Condition Stack,red,Status Condition,Ongoing,,__none__,
THC-030,"THC-072, THC-040","{""THC-072"",""THC-040""}",Gardevoir,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Gardevoir.webp,7,2,"+2 Energy
Defense: You may put this from your hand or discard pile on top of your deck to avoid an Attack.",,[THC],Evolution Stack,,Pokemon,Defense,Evolved,Mega Symbol,
THC-031,"THC-090, THC-029","{""THC-090"",""THC-029""}",Glalie,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Glalie.webp,5,1,"+2 Energy
Attack: Each opponent gains a Freeze",,[THC],Evolution Stack,,Pokemon,Attack,Evolved,Mega Symbol,
THC-032,,{},Groudon,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Groudon.webp,7,2,"+4 Energy
You may destroy a card in your hand or discard pile.",,[THC],Main Deck,,Pokemon,,Legendary,__none__,
THC-033,"THC-111, THC-083","{""THC-111"",""THC-083""}",Grovyle,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Grovyle.webp,5,1,"+2 Energy
Draw a card.
Evolve 6: Put this under your Trainer. Gain Sceptile from the Evolution Stack.",,[THC],Evolution Stack,,Pokemon,Evolve,Evolved,__none__,
THC-034,THC-095,"{""THC-095""}",Gulpin,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Gulpin.webp,3,1,"+1 Energy
You may put a card with cost 1 or more from your hand or discard pile under your Trainer. If you do, gain +1 Energy.
Evolve 4: Put this under your Trainer. Gain Swalot from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Evolve,,__none__,
THC-035,,{},Heat Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Heat%20Badge.webp,9,5,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
THC-036,,{},HM06 Rock Smash,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/HM06%20Rock%20Smash.webp,3,1,"+2 Energy
You may destroy a card in the Route. If you do, add the top card of the Main Deck to the Route.",,[THC],Main Deck,,TM / HM,,,__none__,
THC-037,,{},HM08 Dive,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/HM08%20Dive.webp,3,1,"+2 Energy
Look at the top three cards of the Main Deck. You may add one of those cards to the Route, then put the rest on the bottom of the Main Deck in any order.",,[THC],Main Deck,,TM / HM,,,__none__,
THC-038,,{},Jirachi,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Jirachi.webp,6,2,Gain a card in the Route.,,[THC],Main Deck,,Pokemon,,Mythical,__none__,
THC-039,,{},Kecleon,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Kecleon.webp,4,1,"+2 Energy
This also counts as an Item and TM / HM while in play, in the Route, or in any player's discard pile.",,[THC],Main Deck,,Pokemon,,,__none__,
THC-040,"THC-072, THC-030","{""THC-072"",""THC-030""}",Kirlia,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Kirlia.webp,5,1,"+2 Energy
Defense: You may shuffle this from your hand or discared pile into your deck to avoid an Attack.
Evolve 6: Put this under your Trainer. Gain Gardevoir from the Evolution Stack.",,[THC],Evolution Stack,,Pokemon,Defense|Evolve,Evolved,__none__,
THC-041,,{},Knock Off!,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Knock%20Off.webp,,,Encounter Attack: Reveal your hand. Discard an Item.,"This can't be bought or gained. At the end of the turn, destroy this.",[THC],Main Deck,yellow,Encounter,Encounter Attack,,Team Aqua,
THC-042,,{},Knuckle Badge,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Knuckle%20Badge.webp,8,5,,"When you gain this, put this under your Trainer.",[THC],Challenge Stack,blue,Challenge,,,__none__,
THC-043,,{},Kyogre,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Kyogre.webp,7,2,"+4 Energy
Attack: Each opponent discards a random card.",,[THC],Main Deck,,Pokemon,Attack,Legendary,__none__,
THC-044,,{},Latias,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Latias.webp,6,2,"+3 Energy
Search your deck for a card with Latios in its name and put it into your hand. Shuffle your deck.",,[THC],Main Deck,,Pokemon,,Legendary,Mega Symbol,
THC-045,,{},Latios,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Latios.webp,6,2,"+3 Energy
Search your deck for a card with Latias in its name and put it into your hand. Shuffle your deck.",,[THC],Main Deck,,Pokemon,,Legendary,Mega Symbol,
THC-046,"THC-047, THC-048","{""THC-047"",""THC-048""}",Lombre,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Lombre.webp,5,1,"Draw a card.
Attack: Each opponent discards a card.
Evolve 5: Put this under your Trainer. Gain Ludicolo from the Evolution Stack.",,[THC],Evolution Stack,,Pokemon,Attack|Evolve,Evolved,__none__,
THC-047,"THC-046, THC-048","{""THC-046"",""THC-048""}",Lotad,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Lotad.webp,3,1,"Attack: Each opponent discards a card.
Evolve 3: Put this under your Trainer. Gain Lombre from the Evolution Stack.",,[THC],Main Deck,,Pokemon,Attack|Evolve,,__none__,
THC-048,"THC-047, THC-046","{""THC-047"",""THC-046""}",Ludicolo,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Ludicolo.webp,7,2,"+3 Energy and choose an opponent.
Attack: That opponent discards a random card. If they do, draw a card.",,[THC],Evolution Stack,,Pokemon,Attack,Evolved,__none__,
THC-049,"THC-013, THC-029, THC-066","{""THC-013"",""THC-029"",""THC-066""}",Lum Berry,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Lum%20Berry.webp,5,1,"+2 Energy
Destroy a Burn, Freeze, or Paralyze you control in play or in your discard pile.",,[THC],Main Deck,,Item,,,__none__,
THC-050,,{},Lunatone,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Lunatone.webp,4,2,"+1 Energy
Defense: You may put this under your Trainer to avoid an Attack. If you do, draw two cards.",,[THC],Main Deck,,Pokemon,Defense,,__none__,
THC-051,,{},Luvdisc,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Luvdisc.webp,3,2,,"When you gain this, put this under your Trainer.",[THC],Main Deck,blue,Pokemon,,,__none__,
THC-052,"THC-024, THC-066","{""THC-024"",""THC-066""}",Manectric,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Manectric.webp,5,1,"+2 Energy
Attack: Each opponent gains a Paralyze.",,[THC],Evolution Stack,,Pokemon,Attack,Evolved,Mega Symbol,
THC-053,"THC-063, THC-096","{""THC-063"",""THC-096""}",Marshtomp,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Marshtomp.webp,5,1,"+2 Energy
Attack: Each opponent discards a card with cost 1 or more. If they don't, they discard two cards instead.
Evolve 6: Put this under your Trainer. Gain Swampert from the Evolution Stack.",,[THC],Evolution Stack,,Pokemon,Attack|Evolve,Evolved,__none__,
THC-054,,{},Mawile,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Mawile.webp,5,1,"+2 Energy and choose an opponent.
Attack: That opponent reveals their hand and discards an Attack card.",,[THC],Main Deck,,Pokemon,Attack,,Mega Symbol,
THC-055,,{},Max,https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/THC/Max.webp,,,"Once during each of your turns, you may reveal the top card of your deck. You may discard it.",,[THC],Setup,,Trainer,,,__none__,
