card_id,related_ids_raw,related,image_url,name,cost,xp,effect,highlight_effect,highlight_color,card_location,primary_types,keywords,subtypes,symbols,set,image_variants
MEV-001,"THC-043, MEV-020","{""THC-043"",""MEV-020""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Blue%20Orb.webp,Blue Orb,4,0,"Ongoing: While Kyogre is in your hand, you may put this and Kyogre under your Trainer. If you do, gain Primal Kyogre and put it into your hand.","When you gain this, put this into play.",blue,Main Deck,Item,Ongoing,,__none__,[MEV],
MEV-002,THC-001,"{""THC-001""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Absol.webp,Mega Absol,7,2,"+3 Energy
While this is in your discard pile, if an Attack card is played by any player, you may put this on top of your deck.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-003,THC-003,"{""THC-003""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Altaria.webp,Mega Altaria,7,2,"+4 Energy
At the end of your turn, you may shuffle this into your deck.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-004,"THC-009, THC-109, THC-018, THC-013","{""THC-009"",""THC-109"",""THC-018"",""THC-013""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Blaziken.webp,Mega Blaziken,8,3,"+3 Energy
You may destroy a card in your hand or discard pile. If you do, gain +1 Energy and Attack: Each opponent gains a Burn.",,,Evolution Stack,Pokemon,Attack,Mega,__none__,[MEV],
MEV-005,,{},https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Evolution.webp,Mega Evolution,,,"When you play a Pokemon with the Mega Evolve Symbol, you may put this and that Pokemon under your Trainer. If you do, gain the corresponding Mega Evolved Pokemon from the Evolution Stack.",This is not affected by any effects that do not mention it specifically.,,Setup,,,,__none__,[MEV],
MEV-006,"THC-030, THC-072, THC-040","{""THC-030"",""THC-072"",""THC-040""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Gardevoir.webp,Mega Gardevoir,8,3,"+3 Energy
Draw a card.
Defense: You may draw a card, then put this from your hand or discard pile on top of your deck to avoid an Attack.",,,Evolution Stack,Pokemon,Defense,Mega,__none__,[MEV],
MEV-007,"THC-031, THC-090, THC-029","{""THC-031"",""THC-090"",""THC-029""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Glalie.webp,Mega Glalie,7,2,"+3 Energy
Put all Freeze from the Destroyed Pile into the Status Condition Stack.
Attack: Each opponent gains a Freeze and puts it into play.",,,Evolution Stack,Pokemon,Attack,Mega,__none__,[MEV],
MEV-008,"THC-044, THC-045","{""THC-044"",""THC-045""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Latias.webp,Mega Latias,7,2,"+4 Energy
Defense: You may reveal this, then discard a card to avoid an Attack.
Search your deck and discard pile for a card with Latios in its name and put it into your hand.",,,Evolution Stack,Pokemon,Defense,Mega,__none__,[MEV],
MEV-009,"THC-045, THC-044","{""THC-045"",""THC-044""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Latios.webp,Mega Latios,7,2,"+4 Energy
Each opponent discards a card with cost 1 or more.
Search your deck and discard pile for a card with Latias in its name and put it into your hand.",,,Evolution Stack,Pokemon,,Mega,__none__,[MEV],
MEV-010,"THC-052, THC-024","{""THC-052"",""THC-024""}",https://epukuennycpgajwtmcty.supabase.co/storage/v1/object/public/cards/MEV/Mega%20Manectric.webp,Mega Manectric,7,2,"+3 Energy
Put all Paralyze from the Destroyed Pile into the Status Condition Stack.
Attack: Each opponent gains a Paralyze and puts it into play.",,,Evolution Stack,Pokemon,Attack,Mega,__none__,[MEV],
